tconst	titleType	genres	runtimeMinutes	startYear	averageRating	numVotes	movie_facebook_likes	cast_total_facebook_likes	num_user_for_reviews	gross	num_critic_for_reviews	budget	actor_1_facebook_likes	actor_2_facebook_likes
tt0499549	movie	Action,Adventure,Fantasy	162	2009	7.8	1180517	33000	4834	3054	760505847	723	237000000	1000	936
tt0449088	movie	Action,Adventure,Fantasy	169	2007	7.1	626554	0	48350	1238	309404152	302	300000000	40000	5000
tt2379713	movie	Action,Adventure,Thriller	148	2015	6.8	427235	85000	11700	994	200074175	602	245000000	11000	393
tt1345836	movie	Action,Crime,Drama	164	2012	8.4	1619544	164000	106759	2701	448130642	813	250000000	27000	23000
tt0401729	movie	Action,Adventure,Sci-Fi	132	2012	6.6	266823	24000	1873	738	73058679	462	263700000	640	632
tt0413300	movie	Action,Adventure,Sci-Fi	139	2007	6.2	563506	0	46055	1902	336530303	392	258000000	24000	11000
tt0398286	movie	Adventure,Animation,Comedy	100	2010	7.7	434621	29000	2036	387	200807262	324	260000000	799	553
tt2395427	movie	Action,Adventure,Sci-Fi	141	2015	7.3	819552	118000	92000	1117	458991599	635	250000000	26000	21000
tt0417741	movie	Action,Adventure,Family	153	2009	7.6	520279	10000	58753	973	301956980	375	250000000	25000	11000
tt2975590	movie	Action,Adventure,Sci-Fi	152	2016	6.4	677320	197000	24450	3018	330249062	673	250000000	15000	4000
tt0348150	movie	Action,Adventure,Sci-Fi	154	2006	6.0	279371	0	29991	2367	200069408	434	209000000	18000	10000
tt0830515	movie	Action,Adventure,Thriller	106	2008	6.6	437888	0	2023	1243	168368427	403	200000000	451	412
tt0383574	movie	Action,Adventure,Fantasy	151	2006	7.3	689275	5000	48486	1832	423032628	313	225000000	40000	5000
tt1210819	movie	Action,Adventure,Western	150	2013	6.4	230032	48000	45757	711	89289910	450	215000000	40000	2000
tt0770828	movie	Action,Adventure,Sci-Fi	143	2013	7.0	744100	118000	20495	2536	291021565	733	225000000	15000	3000
tt0499448	movie	Action,Adventure,Family	150	2008	6.5	205613	0	22697	438	141614023	258	225000000	22000	216
tt0848228	movie	Action,Adventure,Sci-Fi	143	2012	8.0	1339756	123000	87697	1722	623279547	703	220000000	26000	21000
tt1298650	movie	Action,Adventure,Fantasy	137	2011	6.6	507867	58000	54083	484	241063875	448	250000000	40000	11000
tt1409024	movie	Action,Adventure,Comedy	106	2012	6.8	352733	40000	12572	341	179020854	451	225000000	10000	816
tt2310332	movie	Adventure,Fantasy	144	2014	7.4	508196	65000	9152	802	255108370	422	250000000	5000	972
tt0948470	movie	Action,Adventure,Sci-Fi	136	2012	6.9	628174	56000	28489	1225	262030663	599	230000000	15000	10000
tt0955308	movie	Action,Adventure,Drama	140	2010	6.6	264255	17000	3244	546	105219735	343	200000000	891	882
tt1170358	movie	Adventure,Fantasy	161	2013	7.8	636868	83000	9152	951	258355354	509	225000000	5000	972
tt0385752	movie	Adventure,Family,Fantasy	113	2007	6.1	185556	0	24106	666	70083519	251	180000000	16000	6000
tt0360717	movie	Action,Adventure,Drama	187	2005	7.2	413075	0	7122	2618	218051260	446	207000000	6000	918
tt0120338	movie	Drama,Romance	194	1997	7.8	1121712	26000	45223	2528	658672302	315	200000000	29000	14000
tt3498820	movie	Action,Adventure,Sci-Fi	147	2016	7.8	739872	72000	64798	1022	407197282	516	250000000	21000	19000
tt1440129	movie	Action,Adventure,Sci-Fi	131	2012	5.8	243927	44000	26679	751	65173160	377	209000000	14000	10000
